Team,Abbreviation
Miami (OH),M-OH
Northern Illinois,NIU
Ohio,OHIO
Toledo,TOL or TOLEDO
Western Michigan,WMU
,MWC
Air Force,AFA
Boise State,BSU
Colorado State,CSU
Fresno State,FRES
Hawaii,HAW
Nevada,NEV
New Mexico,UNM
San Diego State,SDSU
San José State,SJSU
UNLV,UNLV
Utah State,USU
Wyoming,WYO
,SBC
Appalachian State,APP
Arkansas State,ARST
Georgia Southern,GASO
Georgia State,GAST or GSU
Idaho,IDHO
Louisiana Lafayette,ULL
Louisiana Monroe,ULM
New Mexico State,NMSU
South Alabama,USA
Texas State,TXST
Troy,TROY
Big Sky,Big Sky
Cal Poly,CP
Eastern Washington,EWU
Idaho State,IDST
Montana,MONT
Montana State,MTST
North Dakota,UND
Northern Arizona,NAU
Northern Colorado,UNCO
Portland State,PRST
Sacramento State,SAC
Southern Utah,SUU
UC Davis,UCD
Weber State,WEB
Big South,Big South
Charleston Southern,CHSO
Coastal Carolina,CCAR
Gardner-Webb,WEBB
Kennesaw State,KENN
Liberty,LIB
Monmouth,MONM
Presbyterian,PRE
CAA,CAA
Albany,ALBY
Delaware,DEL
Elon,ELON
James Madison,JMU
Maine,MAINE or MNE
New Hampshire,UNH
Rhode Island,URI
Richmond,RICH
Stony Brook,STON
Towson,TOWS
Villanova,NOVA
William & Mary,W&M
Ivy League,Ivy
Brown,BRWN
Cornell,COR
Columbia,CLMB
Dartmouth,DART
Harvard,HARV
UPenn,PENN
Princeton,PRIN
Yale,YALE
MEAC,MEAC
Bethune-Cookman,COOK
Delaware State,DSU
Florida A&M,FAMU
Hampton,HAMP
Howard,HOW
Morgan State,MORG
Norfolk State,NORF
North Carolina A&T,NCAT
NC Central,NCCU
Savannah State,SAV
South Carolina State,SCST
Missouri Valley,MVFC
Illinois State,ILST
Indiana State,INST
Missouri State,MOST
North Dakota State,NDSU
Northern Iowa,UNI
South Dakota,SDAK
South Dakota State,SDSU
Southern Illinois,SIU
Western Illinois,WIU
Youngstown State,YSU
Northeast,NEC
Bryant,BRY
Central Connecticut,CCSU
Duquesne,DUQ
Robert Morris (PA),RMU
Sacred Heart,SHU
St. Francis (PA),SFU
Wagner,WAG
Ohio Valley,OVC
Austin Peay,PEAY
Eastern Illinois,EIU
Eastern Kentucky,EKY
Jacksonville State,JVST
Murray State,MURR
Southeast Missouri,SEMO
Tennessee State,TNST
Tennessee Tech,TNTC
Tennessee-Martin,UTM
Patriot,Patriot
Bucknell,BUCK
Colgate,COLG
Fordham,FOR
Georgetown,GTWN
Holy Cross,HC
Lafayette,LAF
Lehigh,LEH
Pioneer,Pioneer
Butler,BUT
Campbell,CAMP
Davidson,DAV
Dayton,DAY
Drake,DRKE
Jacksonville,JAC
Marist,MRST
Morehead State,MORE
San Diego,USD
Stetson,STET
Valparaiso,VALP
SoCon,SoCon
Chattanooga,CHAT
ETSU,ETSU
Furman,FUR
Mercer,MER
Samford,SAM
The Citadel,CIT
VMI,VMI
Western Carolina,WCU
Wofford,WOF
Southland,Southland
Abilene Christian,ACU
Central Arkansas,UCA
Houston Baptist,HBU
Incarnate Word,IW
Lamar,LAM
McNeese State,MCNS
Nicholls State,NICH
Northwestern State,NWST
Sam Houston State,SHSU
Southeastern Louisiana,SELA
Stephen F. Austin,SFA
SWAC,SWAC
Alabama A&M,AAMU
Alabama State,ALST
Alcorn State,ALCN
Arkansas-Pine Bluff,ARPB
Grambling State,GRAM
Jackson State,JKST
Mississippi Valley State,MVSU
Prairie View A&M,PV
Southern University,SOU
Texas Southern,TXSO
